Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
D7F907D7-866A-409E-89DB-C7EC8319964B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;35,3500;0,0000;0,8400;34,5100;;;29/10/2018 19:22:12;30/10/2018 00:00:00;;1;236115;782956;68918288;1;1;34,5100;0,0000;0,8400;0,0000;0,0000;;
7317DEE1-A953-4C82-B00C-4A5AA1C23248;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;31,7500;0,0000;0,7600;30,9900;;;29/10/2018 19:15:06;30/10/2018 00:00:00;;1;236115;132047;68918288;1;1;30,9900;0,0000;0,7600;0,0000;0,0000;;
C0A39B23-9968-4D40-80C4-F997F0B2205F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;34,1000;0,0000;1,0900;33,0100;;;29/10/2018 18:58:14;28/11/2018 00:00:00;;1;236115;126289;68918288;1;0;0,0000;0,0000;1,0900;0,0000;0,0000;MasterCard;
3025E287-6017-4E75-9D56-791047C11489;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;34,8500;0,0000;1,1100;33,7400;;;29/10/2018 18:48:03;28/11/2018 00:00:00;;1;236115;278358;68918288;1;0;0,0000;0,0000;1,1100;0,0000;0,0000;MasterCard;
E7940E63-6FFD-4FAA-B966-0F405D20A67E;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;87,9900;0,0000;2,1000;85,8900;;;29/10/2018 18:40:40;30/10/2018 00:00:00;;1;236115;735309;68918288;1;1;85,8900;0,0000;2,1000;0,0000;0,0000;;
E7100319-5C07-4179-B0EB-474F0F4F68FF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;44,6000;0,0000;1,4200;43,1800;;;29/10/2018 18:35:12;28/11/2018 00:00:00;;1;236115;625174;68918288;1;0;0,0000;0,0000;1,4200;0,0000;0,0000;MasterCard;
570B321D-0B3C-4B5E-9310-C43DADF87D14;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;17,3000;0,0000;0,4100;16,8900;;;29/10/2018 18:26:54;30/10/2018 00:00:00;;1;236115;72548;68918288;1;1;16,8900;0,0000;0,4100;0,0000;0,0000;;
0A489DD0-A5AB-44DC-82D2-EFB471E631CD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;10,6300;0,0000;0,3400;10,2900;;;29/10/2018 18:05:47;28/11/2018 00:00:00;;1;236115;258895;68918288;1;0;0,0000;0,0000;0,3400;0,0000;0,0000;MasterCard;
54D7924D-B964-4583-A496-E8B3B8F3E74E;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;40,0000;0,0000;1,2800;38,7200;;;29/10/2018 18:02:23;28/11/2018 00:00:00;;1;236115;438665;68918288;1;0;0,0000;0,0000;1,2800;0,0000;0,0000;MasterCard;
91F4851E-B43A-451E-8E2E-82AF1CF53163;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,2200;0,0000;0,4600;18,7600;;;29/10/2018 18:01:39;30/10/2018 00:00:00;;1;236115;605501;68918288;1;1;18,7600;0,0000;0,4600;0,0000;0,0000;;
39FC4497-EF19-414D-858C-72AF9329F686;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;5,5000;0,0000;0,1300;5,3700;;;29/10/2018 17:49:04;30/10/2018 00:00:00;;1;236115;835709;68918288;1;1;5,3700;0,0000;0,1300;0,0000;0,0000;;
3D7F2178-FEDD-4C13-8F0D-19A36B3C3CB1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;25,0000;0,0000;0,6000;24,4000;;;29/10/2018 17:41:44;30/10/2018 00:00:00;;1;236115;594574;68918288;1;1;24,4000;0,0000;0,6000;0,0000;0,0000;;
41ADE91E-9C50-417B-9458-57516AB91DBF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,3600;0,0000;0,4600;18,9000;;;29/10/2018 17:12:39;30/10/2018 00:00:00;;1;236115;910062;68918288;1;1;18,9000;0,0000;0,4600;0,0000;0,0000;;
D1BE254B-F6BA-43F0-A7E3-F0EFBAC7B308;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;17,6000;0,0000;0,4200;17,1800;;;29/10/2018 16:58:27;30/10/2018 00:00:00;;1;236115;719061;68918288;1;1;17,1800;0,0000;0,4200;0,0000;0,0000;;
